Truth,Decoded
Quanto costa il biglietto,pero a lo
"Certo volentieri, io lo prendero macchiato",pero lo e mario
Prendiamo un caffe al bar,lo lo
Va bene grazie lo stesso,e e a lo
Piacere Luigi come stai,sono io io
Le auguro una buona giornata,lo a lo
Salve quanto costa quell articolo,lo a io lo
Prego,a lo
Buonasera io sono Mario,pero lo lo
Perfetto vorrei comprarne due.,pero e lo
Buongiorno io sono Mario,euro lo lo
Dovrebbe arrivare tra qualche minuto,e lo a lo
Purtroppo non lo so pero potresti chiedere all autista,lo lo lo lo e oevie sono itato
Certo ecco a lei vuole un sacchetto,lo e lo
A che ora arriva il pullman,e lo lo lo
Tutto bene grazie,lo e lo
